"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__weights","param_model__n_neighbors","param_model__leaf_size","param_model__algorithm","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.273646068572998,0.0738309219700286,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","distance",34,61,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 34, 'model__leaf_size': 61, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,32
"2",1,0.313219118118286,0.0875699865057219,0.118561792373657,0.0325735638194351,"StandardScaler","KNNImputer","OneHotEncoder","distance",46,256,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 46, 'model__leaf_size': 256, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",0.782122905027933,0.803370786516854,0.803370786516854,0.775280898876405,0.853932584269663,0.803615592241542,0.0275561608291216,9
"3",2,0.261659145355225,0.0341680749346637,0.0991693019866943,0.0277825637286043,"StandardScaler","KNNImputer","OneHotEncoder","distance",43,171,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 43, 'model__leaf_size': 171, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",0.793296089385475,0.803370786516854,0.797752808988764,0.758426966292135,0.842696629213483,0.799108656079342,0.0268652239694934,14
"4",3,0.253930950164795,0.0557188791415416,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",4,201,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 4, 'model__leaf_size': 201, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,34
"5",4,0.325079822540283,0.0533078704855871,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",34,76,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 34, 'model__leaf_size': 76, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,35
"6",5,0.355676412582397,0.0440701551211641,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","distance",34,71,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 34, 'model__leaf_size': 71, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,36
"7",6,0.304726076126099,0.0641123865560347,0.117438554763794,0.0460921792174065,"StandardScaler","SimpleImputer","OneHotEncoder","distance",28,66,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 28, 'model__leaf_size': 66, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",0.815642458100559,0.803370786516854,0.792134831460674,0.786516853932584,0.837078651685393,0.806948716339213,0.0180726750548429,7
"8",7,0.24117579460144,0.115720985665263,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","uniform",28,126,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 28, 'model__leaf_size': 126, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,37
"9",8,0.251251173019409,0.0281182645896855,0.123376512527466,0.0439786225610691,"StandardScaler","SimpleImputer","OneHotEncoder","distance",10,166,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 10, 'model__leaf_size': 166, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",0.815642458100559,0.786516853932584,0.825842696629214,0.786516853932584,0.831460674157303,0.809195907350449,0.0191993352941692,5
"10",9,0.38472843170166,0.0993001154190056,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","distance",16,91,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 16, 'model__leaf_size': 91, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,38
