"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.50114369392395,0.117198706753206,0.0649606704711914,0.026111969409017,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","multinomial",31,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 31, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.854748603351955,0.837078651685393,0.837078651685393,0.842696629213483,0.837078651685393,0.841736237524324,0.00686036929282582,2
"2",1,0.400070381164551,0.102203269216855,0.0375448226928711,0.0116791624338144,"StandardScaler","KNNImputer","OneHotEncoder","saga","multinomial",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.849162011173184,0.820224719101124,0.831460674157303,0.825842696629214,0.820224719101124,0.82938296403239,0.0107313370917986,14
"3",2,0.356472730636597,0.0231078824854737,0.0614398956298828,0.00614061061996982,"StandardScaler","KNNImputer","OneHotEncoder","saga","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.849162011173184,0.808988764044944,0.825842696629214,0.814606741573034,0.820224719101124,0.8237649865043,0.0138857440209052,22
"4",3,0.236131954193115,0.0274693121376771,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","saga","ovr",26,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,35
"5",4,0.293894338607788,0.0701718704132729,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",36,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 36, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,36
"6",5,0.318716526031494,0.0746258771860297,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,37
"7",6,0.2171142578125,0.0390494323560123,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","saga","ovr",36,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 36, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,38
"8",7,0.18492283821106,0.0487705995697852,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","saga","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,39
"9",8,0.180647420883179,0.0443822877649016,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 1, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,40
"10",9,0.23925895690918,0.0172660225497332,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","saga","ovr",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,42
"11",10,0.217558717727661,0.0581930928859796,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","saga","ovr",6,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 6, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,49
