,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__scaler,param_preprocessor__num__imputer,param_preprocessor__cat__encoder,param_model__weights,param_model__n_neighbors,param_model__leaf_size,param_model__algorithm,param_model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.029473638534545897,0.02529685623675146,0.013535451889038087,0.0010731006445171335,MinMaxScaler(),KNNImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",uniform,22,66,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 22, 'model__leaf_size': 66, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9,1.0,0.9533333333333334,0.03399346342395189,14
1,0.020789241790771483,0.006216940190838572,0.012621307373046875,0.005417966539862302,StandardScaler(),KNNImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",distance,10,151,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 10, 'model__leaf_size': 151, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,0.9666666666666666,0.02108185106778919,2
2,0.01615910530090332,0.0005106618170273881,0.008377981185913087,0.00026610287996786094,StandardScaler(),SimpleImputer(strategy='most_frequent'),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",distance,25,221,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 25, 'model__leaf_size': 221, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,14
3,0.016917085647583006,0.0025224669110341397,0.012699365615844727,0.0018754495599288103,StandardScaler(),SimpleImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",uniform,25,326,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 25, 'model__leaf_size': 326, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9399999999999998,0.038873012632301994,35
4,0.016080522537231447,0.0018011814667730686,0.01670360565185547,0.0040557032544878005,StandardScaler(),KNNImputer(n_neighbors=10),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",uniform,43,166,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 43, 'model__leaf_size': 166, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.8333333333333334,0.9333333333333333,0.8333333333333334,0.8666666666666667,0.9,0.8733333333333334,0.038873012632301994,48
5,0.03197121620178223,0.010537314484863622,0.016663026809692384,0.004536923181834313,StandardScaler(),KNNImputer(n_neighbors=10),OneHotEncoder(handle_unknown='ignore'),distance,37,281,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 37, 'model__leaf_size': 281, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9333333333333333,0.9666666666666667,0.9333333333333333,1.0,0.9466666666666667,0.03399346342395189,28
6,0.030633306503295897,0.01095820665472969,0.02347226142883301,0.008763107496290914,StandardScaler(),KNNImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",uniform,19,6,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 19, 'model__leaf_size': 6, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9466666666666667,0.03399346342395189,28
7,0.02797412872314453,0.010091267665988923,0.022226572036743164,0.008239577997278931,StandardScaler(),KNNImputer(n_neighbors=10),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",uniform,4,61,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 4, 'model__leaf_size': 61, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9666666666666667,0.9666666666666667,1.0,0.8666666666666667,0.9666666666666667,0.9533333333333334,0.04521553322083511,14
8,0.03221650123596191,0.005075769142770789,0.019996500015258788,0.006150957741539332,StandardScaler(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(handle_unknown='ignore'),uniform,31,96,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 31, 'model__leaf_size': 96, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9666666666666667,0.8666666666666667,0.9,1.0,0.9266666666666665,0.04898979485566355,39
9,0.031046295166015626,0.005677059907918037,0.01866288185119629,0.008869623207805004,StandardScaler(),KNNImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",distance,10,336,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 10, 'model__leaf_size': 336, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,0.9666666666666666,0.02108185106778919,2
