"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__learning_rate","param_model__hidden_layer_sizes","param_model__activation","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,4.99983205795288,1.0695329594731,0.0160065174102783,0.00443822574005945,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","invscaling","(560, 50)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 50), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,0.966666666666667,0.866666666666667,0.933333333333333,1,0.953333333333333,0.0498887651569859,24
"2",1,0.908569383621216,0.018781256618926,0.0115457057952881,0.00381556446947104,"StandardScaler","SimpleImputer","OrdinalEncoder","sgd","invscaling","(100,)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100,), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.233333333333333,0.1,0.366666666666667,0.166666666666667,0.266666666666667,0.226666666666667,0.0904310664416702,50
"3",2,0.238239526748657,0.0491596955827872,0.0125463485717773,0.00533507844612205,"MinMaxScaler","KNNImputer","OneHotEncoder","lbfgs","constant","(250,)","tanh","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (250,), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"4",3,0.460291814804077,0.0468111322764151,0.0136418342590332,0.00623303883375914,"StandardScaler","KNNImputer","OneHotEncoder","sgd","invscaling","(100,)","relu","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.433333333333333,0.666666666666667,0.3,0.333333333333333,0.0666666666666667,0.36,0.194821855949366,46
"5",4,0.430564165115356,0.338108449498058,0.00970625877380371,0.00453548664611284,"MinMaxScaler","KNNImputer","OneHotEncoder","lbfgs","constant","(100,)","tanh","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100,), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.96,0.0249443825784929,17
"6",5,0.488247060775757,0.0489255171099392,0.0100298404693604,0.00282971125031697,"MinMaxScaler","SimpleImputer","OneHotEncoder","sgd","constant","(100,)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100,), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.733333333333333,0.666666666666667,0.7,0.733333333333333,0.7,0.706666666666667,0.0249443825784929,38
"7",6,0.0757215023040771,0.0197011351782994,0.00707464218139648,0.000513211559653212,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","adaptive","(200,)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (200,), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"8",7,1.89584670066834,0.152143763766476,0.0179774761199951,0.00559948634970006,"StandardScaler","KNNImputer","OrdinalEncoder","adam","adaptive","(100, 150)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (100, 150), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"9",8,1.92719345092773,0.205740398976677,0.0103002548217773,0.00487224670778571,"StandardScaler","KNNImputer","OrdinalEncoder","adam","constant","(100, 150)","logistic","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100, 150), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.953333333333333,0.0163299316185545,24
"10",9,1.16438474655151,0.132179622335595,0.0121779441833496,0.00351459940798306,"StandardScaler","KNNImputer","OneHotEncoder","sgd","invscaling","(250,)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (250,), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.333333333333333,0.433333333333333,0.733333333333333,0.266666666666667,0.666666666666667,0.486666666666667,0.183303027798234,43
