"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__n_estimators","param_model__max_features","param_model__criterion","param_model__bootstrap","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0827559471130371,0.0200012814552761,0.0161008358001709,0.00632719828340014,"MinMaxScaler","KNNImputer","OrdinalEncoder",11,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 11, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.933333333333333,0.866666666666667,1,0.946666666666667,0.0452155332208351,20
"2",1,0.31361141204834,0.0807614345309935,0.0358457088470459,0.00926634745936079,"StandardScaler","SimpleImputer","OrdinalEncoder",81,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 81, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.9,0.933333333333333,1,0.953333333333333,0.0339934634239519,17
"3",2,0.187397432327271,0.0472745603879248,0.027281379699707,0.00743521708000836,"MinMaxScaler","SimpleImputer","OrdinalEncoder",36,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 36, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,12
"4",3,0.189639520645142,0.0341273727441545,0.0299698352813721,0.00917329057651291,"MinMaxScaler","KNNImputer","OneHotEncoder",46,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 46, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.9,0.933333333333333,1,0.953333333333333,0.0339934634239519,17
"5",4,0.394531059265137,0.0690969251074476,0.0530994415283203,0.0127802496847762,"StandardScaler","KNNImputer","OneHotEncoder",116,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 116, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.9,0.966666666666667,1,0.96,0.032659863237109,7
"6",5,0.493120861053467,0.0924560048417842,0.0593563556671143,0.0224029736835594,"StandardScaler","KNNImputer","OneHotEncoder",141,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 141, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.9,0.966666666666667,1,0.96,0.032659863237109,7
"7",6,0.562484121322632,0.0633122249254394,0.0657168865203857,0.0206629522481558,"StandardScaler","KNNImputer","OrdinalEncoder",156,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 156, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,0.0210818510677892,1
"8",7,0.815751266479492,0.0467208371715611,0.0634617805480957,0.0120706182732292,"StandardScaler","SimpleImputer","OneHotEncoder",186,"log2","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 186, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,0.0210818510677892,1
"9",8,0.634581613540649,0.122812804133309,0.0667776107788086,0.0285388306762315,"MinMaxScaler","SimpleImputer","OrdinalEncoder",161,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 161, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.9,0.966666666666667,1,0.96,0.032659863237109,7
"10",9,0.576698493957519,0.118695799844393,0.0529260158538818,0.0169094273123757,"MinMaxScaler","KNNImputer","OrdinalEncoder",106,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 106, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, max_features='log2', n_estimators=156)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,12
