"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.059050989151001,0.0240018139951028,0.0144358158111572,0.00678645378068636,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","sigmoid","scale",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",0.166666666666667,0.333333333333333,0.233333333333333,0.166666666666667,0.2,0.22,0.0618241233033047,14
"2",1,0.0321509838104248,0.00830052566923739,0.0161740779876709,0.00757727923824065,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","linear","auto",1,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,7
"3",2,0.0246479988098145,0.00629847045051745,0.0126787185668945,0.00371618419858837,"StandardScaler","KNNImputer","OneHotEncoder","False","False","poly","auto",1,41,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,7
"4",3,0.0360460758209229,0.0136316814743421,0.012739896774292,0.0047471895454005,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","linear","scale",1,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",1,0.966666666666667,0.933333333333333,0.966666666666667,1,0.973333333333333,0.0249443825784929,2
"5",4,0.0301428318023682,0.0121511252628288,0.0103006362915039,0.00444281607727658,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","poly","auto",1,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",1,0.966666666666667,0.9,0.966666666666667,1,0.966666666666667,0.0365148371670111,3
"6",5,0.025613260269165,0.0121567378594598,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","True","False","precomputed","auto",1,31,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,18
"7",6,0.0304468154907227,0.00693573835587748,0.0161056995391846,0.0041712790033292,"StandardScaler","KNNImputer","OneHotEncoder","False","False","sigmoid","auto",1,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'sigmoid', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",0.7,0.866666666666667,0.666666666666667,0.8,1,0.806666666666667,0.12,12
"8",7,0.0179905891418457,0.00805246186105439,0.00842409133911133,0.00340131893520092,"StandardScaler","KNNImputer","OneHotEncoder","True","False","linear","auto",1,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",1,1,0.9,0.933333333333333,1,0.966666666666667,0.0421637021355784,5
"9",8,0.0327957630157471,0.00582508140036191,0,0,"StandardScaler","SimpleImputer","OneHotEncoder","True","True","precomputed","scale",1,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,17
"10",9,0.0217895984649658,0.00315672160723299,0.00700454711914063,0.000104538475190442,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","rbf","scale",1,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=1, coef0=1, kernel='poly', probability=True, shrinking=False)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,7
