"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__weights","param_model__n_neighbors","param_model__leaf_size","param_model__algorithm","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0351737022399902,0.0207972989170925,0.0221055507659912,0.00940063457535027,"StandardScaler","SimpleImputer","OneHotEncoder","uniform",19,21,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 19, 'model__leaf_size': 21, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.9,0.966666666666667,0.933333333333333,0.933333333333333,1,0.946666666666667,0.0339934634239519,30
"2",1,0.0255772113800049,0.00260469442784008,0.0262659072875977,0.00669382805564376,"MinMaxScaler","KNNImputer","OneHotEncoder","uniform",49,146,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 49, 'model__leaf_size': 146, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.866666666666667,0.933333333333333,0.9,0.9,0.933333333333333,0.906666666666667,0.0249443825784929,46
"3",2,0.0348290920257568,0.0137020932103604,0.0172986507415771,0.00828783689367163,"MinMaxScaler","KNNImputer","OneHotEncoder","distance",19,321,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 19, 'model__leaf_size': 321, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,3
"4",3,0.0240063667297363,0.0083416455690312,0.0221875667572021,0.0123054585963326,"StandardScaler","KNNImputer","OrdinalEncoder","distance",31,251,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 31, 'model__leaf_size': 251, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.9,0.966666666666667,0.966666666666667,0.933333333333333,1,0.953333333333333,0.0339934634239519,17
"5",4,0.0473598003387451,0.00617886318507223,0.0390815258026123,0.00778384860711873,"StandardScaler","SimpleImputer","OneHotEncoder","uniform",25,256,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 25, 'model__leaf_size': 256, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,38
"6",5,0.047338342666626,0.0076195661697278,0.0343137741088867,0.00759711583364553,"MinMaxScaler","SimpleImputer","OneHotEncoder","uniform",22,261,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 22, 'model__leaf_size': 261, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.933333333333333,0.966666666666667,0.966666666666667,0.9,1,0.953333333333333,0.0339934634239519,17
"7",6,0.0398804664611816,0.00854372107155527,0.0316192626953125,0.0175217005371902,"MinMaxScaler","SimpleImputer","OneHotEncoder","uniform",34,56,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 34, 'model__leaf_size': 56, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.966666666666667,0.9,1,0.96,0.032659863237109,3
"8",7,0.0494790554046631,0.0215826893500033,0.0350054264068604,0.0128403138566492,"MinMaxScaler","SimpleImputer","OrdinalEncoder","distance",22,66,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 22, 'model__leaf_size': 66, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,17
"9",8,0.0298635959625244,0.0188143321580229,0.0337985515594482,0.0254258308729171,"MinMaxScaler","SimpleImputer","OrdinalEncoder","distance",49,311,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 49, 'model__leaf_size': 311, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,3
"10",9,0.0217765808105469,0.0102991669320445,0.0141372680664062,0.00570535437611378,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",16,186,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 16, 'model__leaf_size': 186, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,3
"11",10,0.037794303894043,0.0156773499875295,0.0231805801391602,0.0116749967377462,"StandardScaler","KNNImputer","OneHotEncoder","distance",37,246,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 37, 'model__leaf_size': 246, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.9,0.933333333333333,0.966666666666667,0.933333333333333,1,0.946666666666667,0.0339934634239519,30
"12",11,0.0465829849243164,0.012305558780553,0.0188799858093262,0.00618152764987537,"MinMaxScaler","SimpleImputer","OneHotEncoder","distance",13,156,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 13, 'model__leaf_size': 156, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=191, n_neighbors=7,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.966666666666667,0.9,1,0.96,0.032659863237109,3
