"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.062822151184082,0.0104668175873562,0.00806679725646973,0.00292854392545603,"MinMaxScaler","KNNImputer","OrdinalEncoder","lbfgs","multinomial",1,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__multi_class': 'multinomial', 'model__C': 1, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,36
"2",1,0.052281379699707,0.00676845501036943,0.00708417892456055,0.000989272119945777,"StandardScaler","KNNImputer","OneHotEncoder","sag","ovr",41,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 41, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,21
"3",2,0.0295562744140625,0.00608510694078202,0.0104067325592041,0.00460870798237329,"StandardScaler","KNNImputer","OneHotEncoder","sag","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,36
"4",3,0.0465560913085937,0.00809810005420527,0.0100775718688965,0.00252498550534325,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,36
"5",4,0.0862969875335693,0.0178763462422917,0.013779878616333,0.00512711601960028,"MinMaxScaler","SimpleImputer","OrdinalEncoder","newton-cg","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,18
"6",5,0.0662210464477539,0.0177419271021831,0.0178205490112305,0.0164371614047893,"MinMaxScaler","SimpleImputer","OrdinalEncoder","newton-cg","multinomial",11,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 11, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,21
"7",6,0.0772733688354492,0.00593422112092634,0.0119219779968262,0.00544579756692976,"MinMaxScaler","KNNImputer","OrdinalEncoder","lbfgs","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,18
"8",7,0.0528231620788574,0.00610284766550593,0.0111979007720947,0.00540678604028546,"StandardScaler","SimpleImputer","OrdinalEncoder","sag","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"9",8,0.0423435211181641,0.0120689438896757,0.00921444892883301,0.00340236190212678,"StandardScaler","KNNImputer","OneHotEncoder","saga","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"10",9,0.0967437744140625,0.00378440773268625,0.0153822898864746,0.00592448145881142,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","ovr",31,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__multi_class': 'ovr', 'model__C': 31, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='sag')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,21
