"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__n_estimators","param_model__max_features","param_model__criterion","param_model__bootstrap","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.519277906417847,0.0861192850716716,0.052667760848999,0.0165508230883965,"StandardScaler","KNNImputer","OrdinalEncoder",121,"log2","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 121, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,26
"2",1,0.501807069778442,0.0820520223836792,0.0508102416992188,0.0175416735008913,"StandardScaler","SimpleImputer","OneHotEncoder",111,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 111, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,0.0210818510677892,1
"3",2,0.018596363067627,0.00602737022055402,0.00790276527404785,0.00379317445896891,"StandardScaler","KNNImputer","OrdinalEncoder",1,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 1, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.866666666666667,0.933333333333333,0.966666666666667,0.94,0.038873012632302,50
"4",3,0.579880571365356,0.0551131098841331,0.0692940235137939,0.0231804780862181,"StandardScaler","SimpleImputer","OrdinalEncoder",176,"log2","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 176, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.9,0.933333333333333,1,0.953333333333333,0.0339934634239519,40
"5",4,0.444290161132812,0.0958675017764449,0.0468668937683105,0.0180310797834645,"MinMaxScaler","SimpleImputer","OneHotEncoder",126,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 126, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.9,0.966666666666667,1,0.96,0.032659863237109,19
"6",5,0.780531454086304,0.0565778323489489,0.0765923023223877,0.0306558013523969,"MinMaxScaler","KNNImputer","OneHotEncoder",196,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 196, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,26
"7",6,0.137297916412354,0.0338488763311094,0.0263714790344238,0.00560554035570661,"MinMaxScaler","SimpleImputer","OneHotEncoder",26,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 26, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,0.0210818510677892,1
"8",7,0.242989063262939,0.0451116629663261,0.0353041172027588,0.00767859541579911,"StandardScaler","KNNImputer","OneHotEncoder",71,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 71, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,0.0210818510677892,1
"9",8,0.841375541687012,0.125576806904768,0.0876785278320313,0.0245272532007449,"StandardScaler","KNNImputer","OneHotEncoder",176,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 176, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,0.0210818510677892,1
"10",9,0.584117984771728,0.0869323787054294,0.0500446319580078,0.012869035052355,"MinMaxScaler","SimpleImputer","OrdinalEncoder",106,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 106, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=111)}",0.966666666666667,0.966666666666667,0.9,0.933333333333333,1,0.953333333333333,0.0339934634239519,40
