"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0317791938781738,0.00304481427065956,0.0173907279968262,0.00659937206181275,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","False","rbf","scale",5,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 5, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,27
"2",1,0.0349593162536621,0.0188995087459839,0.0137572288513184,0.00625522474696864,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","False","poly","scale",3,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__coef0': 3, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"3",2,0.0276616096496582,0.00559610837254849,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","True","False","precomputed","scale",9,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 9, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,40
"4",3,0.0330471038818359,0.0129539527659403,0.0155045509338379,0.00596300190016018,"StandardScaler","SimpleImputer","OrdinalEncoder","True","False","rbf","scale",3,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 3, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,7
"5",4,0.0232741355895996,0.00346205086222987,0,0,"MinMaxScaler","SimpleImputer","OneHotEncoder","False","False","precomputed","scale",8,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 8, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,42
"6",5,0.0311599254608154,0.0061532421904187,0.0119133472442627,0.00449562684326986,"StandardScaler","KNNImputer","OneHotEncoder","True","False","poly","auto",9,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 9, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"7",6,0.028960657119751,0.00637417179152835,0.0162657737731934,0.00313075280674073,"MinMaxScaler","KNNImputer","OrdinalEncoder","True","False","rbf","scale",4,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 4, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"8",7,0.0199666023254395,0.00940812975784684,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","False","precomputed","auto",5,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 5, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,46
"9",8,0.025451135635376,0.00477689571557499,0,0,"StandardScaler","SimpleImputer","OneHotEncoder","True","False","precomputed","scale",8,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 8, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,50
"10",9,0.0277567386627197,0.00368925451923415,0,0,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","precomputed","auto",8,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 8, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,48
"11",10,0.0320622444152832,0.00798953390973394,0.0164700508117676,0.00469181116392226,"StandardScaler","SimpleImputer","OneHotEncoder","False","False","sigmoid","scale",4,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__coef0': 4, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",0.733333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.8,0.806666666666667,0.038873012632302,31
"12",11,0.0397849082946777,0.00278649406474547,0.0178179264068604,0.00855759444566591,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","linear","scale",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,2
"13",12,0.025083065032959,0.00497010633457365,0.0106080532073975,0.00559342603020847,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","linear","scale",3,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 3, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"14",13,0.0312734603881836,0.0139303472026,0.010569953918457,0.00548775372864569,"StandardScaler","SimpleImputer","OrdinalEncoder","True","True","linear","scale",1,41,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",1,1,0.9,0.933333333333333,1,0.966666666666667,0.0421637021355784,7
"15",14,0.0189403533935547,0.00728081005401107,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","False","precomputed","auto",4,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 4, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,44
