"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__weights","param_model__n_neighbors","param_model__leaf_size","param_model__algorithm","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.132728099822998,0.0378645145871845,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","uniform",40,231,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 40, 'model__leaf_size': 231, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,50
"2",1,0.120266628265381,0.0244450979760764,0.101851034164429,0.0493910915034638,"MinMaxScaler","SimpleImputer","OneHotEncoder","uniform",16,1,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 16, 'model__leaf_size': 1, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.804469273743017,0.808988764044944,0.814606741573034,0.792134831460674,0.814606741573034,0.806961270478941,0.00833127275217464,7
"3",2,0.148410701751709,0.0300188993944178,0.0572032451629639,0.0132265510219072,"MinMaxScaler","SimpleImputer","OneHotEncoder","distance",25,216,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 25, 'model__leaf_size': 216, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.804469273743017,0.814606741573034,0.814606741573034,0.780898876404494,0.831460674157303,0.809208461490176,0.0165972065873465,4
"4",3,0.159303855895996,0.0299923232616438,0.0599740505218506,0.0167452057880556,"MinMaxScaler","KNNImputer","OneHotEncoder","distance",49,141,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 49, 'model__leaf_size': 141, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.787709497206704,0.814606741573034,0.808988764044944,0.775280898876405,0.808988764044944,0.799114933149206,0.0150540782521643,15
"5",4,0.129824590682983,0.02335267643664,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","distance",4,251,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 4, 'model__leaf_size': 251, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,33
"6",5,0.129639387130737,0.0230676695417746,0.0609169483184814,0.0140095435341153,"MinMaxScaler","KNNImputer","OneHotEncoder","distance",46,196,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 46, 'model__leaf_size': 196, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.810055865921788,0.814606741573034,0.803370786516854,0.775280898876405,0.808988764044944,0.802460611386605,0.0140527459095747,12
"7",6,0.169616842269897,0.0195230709140999,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","uniform",13,281,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 13, 'model__leaf_size': 281, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,39
"8",7,0.109220361709595,0.0107519004498414,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","uniform",7,256,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 7, 'model__leaf_size': 256, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,40
"9",8,0.121770095825195,0.0275463866290201,0.0641388416290283,0.0266200847116642,"StandardScaler","SimpleImputer","OneHotEncoder","uniform",28,141,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 28, 'model__leaf_size': 141, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.681564245810056,0.814606741573034,0.808988764044944,0.775280898876405,0.797752808988764,0.77563869185864,0.0489283145121229,28
"10",9,0.14444899559021,0.0394210117390273,0.0529797077178955,0.0125722429878665,"StandardScaler","KNNImputer","OneHotEncoder","distance",43,346,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 43, 'model__leaf_size': 346, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.692737430167598,0.797752808988764,0.814606741573034,0.775280898876405,0.797752808988764,0.775626137718913,0.0432881592798442,29
"11",10,0.13196063041687,0.0224082360807984,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","uniform",40,76,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 40, 'model__leaf_size': 76, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,48
"12",11,0.11622462272644,0.0280038595257943,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",28,216,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 28, 'model__leaf_size': 216, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,47
"13",12,0.144122838973999,0.0171898130648218,0.074318790435791,0.0197124860038356,"StandardScaler","SimpleImputer","OneHotEncoder","uniform",19,291,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 19, 'model__leaf_size': 291, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.759776536312849,0.797752808988764,0.797752808988764,0.780898876404494,0.825842696629214,0.792404745464817,0.021782034800646,21
"14",13,0.147953033447266,0.0190754105556939,0.0873804092407227,0.00615104636105592,"StandardScaler","SimpleImputer","OneHotEncoder","uniform",13,336,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 13, 'model__leaf_size': 336, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.787709497206704,0.797752808988764,0.792134831460674,0.803370786516854,0.803370786516854,0.79686774213797,0.00619090315573039,17
"15",14,0.168803548812866,0.00959517895540164,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","distance",1,336,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 1, 'model__leaf_size': 336, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,46
"16",15,0.17671947479248,0.00619875822931932,0.0789441108703613,0.00955770789659682,"MinMaxScaler","KNNImputer","OneHotEncoder","uniform",4,6,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 4, 'model__leaf_size': 6, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.787709497206704,0.786516853932584,0.814606741573034,0.792134831460674,0.825842696629214,0.801362124160442,0.0159162653926601,13
"17",16,0.12320761680603,0.0330650482585699,0.0502905368804932,0.0155394759453137,"StandardScaler","KNNImputer","OneHotEncoder","distance",28,96,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 28, 'model__leaf_size': 96, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.737430167597765,0.803370786516854,0.808988764044944,0.792134831460674,0.797752808988764,0.7879354717218,0.025870023341146,23
"18",17,0.141902351379395,0.0302261716519395,0.0542701244354248,0.017270228158091,"StandardScaler","KNNImputer","OneHotEncoder","distance",10,211,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 10, 'model__leaf_size': 211, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.782122905027933,0.797752808988764,0.786516853932584,0.803370786516854,0.825842696629214,0.79912121021907,0.015373883265935,14
"19",18,0.125836610794067,0.0403224828302379,0.0843888759613037,0.0211532214966374,"StandardScaler","SimpleImputer","OneHotEncoder","uniform",46,136,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 46, 'model__leaf_size': 136, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.675977653631285,0.808988764044944,0.814606741573034,0.752808988764045,0.797752808988764,0.770026991400414,0.051799290272353,31
"20",19,0.137252855300903,0.0226044180600687,0.0509088039398193,0.018632241687619,"StandardScaler","KNNImputer","OneHotEncoder","distance",46,146,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 46, 'model__leaf_size': 146, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=196, n_neighbors=7,
                     weights='distance')}",0.692737430167598,0.797752808988764,0.814606741573034,0.769662921348315,0.808988764044944,0.776749733224531,0.0447703637429832,26
