"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.233213233947754,0.0249953592659124,0.0402153968811035,0.0128013893108147,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",16,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 16, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.832402234636871,0.780898876404494,0.820224719101124,0.808988764044944,0.820224719101124,0.812547862657711,0.0174722056431585,24
"2",1,0.148630046844482,0.0437898480823874,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","newton-cg","ovr",31,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 31, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,42
"3",2,0.206886959075928,0.0580471702135532,0.0311537742614746,0.00847441400519434,"StandardScaler","SimpleImputer","OneHotEncoder","sag","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.832402234636871,0.786516853932584,0.825842696629214,0.814606741573034,0.831460674157303,0.818165840185801,0.0170451587023457,18
"4",3,0.268374633789063,0.0662695082162683,0.04046950340271,0.0136087631071024,"StandardScaler","KNNImputer","OneHotEncoder","sag","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.843575418994413,0.792134831460674,0.825842696629214,0.820224719101124,0.825842696629214,0.821524072562928,0.0166672056390884,17
"5",4,0.14647421836853,0.0253462965553187,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","sag","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,48
"6",5,0.272895240783691,0.0503113272653314,0.0444748401641846,0.0108386495027644,"StandardScaler","KNNImputer","OneHotEncoder","saga","ovr",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 6, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.826815642458101,0.775280898876405,0.814606741573034,0.814606741573034,0.831460674157303,0.812554139727575,0.0197917575596339,23
"7",6,0.19716010093689,0.0489182428099638,0.0483982086181641,0.012319852145071,"MinMaxScaler","KNNImputer","OneHotEncoder","sag","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.854748603351955,0.803370786516854,0.831460674157303,0.825842696629214,0.837078651685393,0.830500282468144,0.0166726183657961,3
"8",7,0.119947862625122,0.0303898113462722,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","newton-cg","ovr",46,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 46, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,43
"9",8,0.405034828186035,0.0495714567841567,0.0459742546081543,0.0104942645106585,"StandardScaler","SimpleImputer","OneHotEncoder","lbfgs","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.832402234636871,0.792134831460674,0.825842696629214,0.814606741573034,0.825842696629214,0.818165840185801,0.0142184652818441,18
"10",9,0.175912380218506,0.041775567200718,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,44
