"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__learning_rate","param_model__hidden_layer_sizes","param_model__activation","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,5.61142225265503,0.721112771396294,0.0279571533203125,0.00196559894868523,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","invscaling","(200,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (200,), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.860335195530726,0.808988764044944,0.837078651685393,0.837078651685393,0.825842696629214,0.833864791915134,0.0167601362297149,1
"2",1,0.157200765609741,0.0361328205271187,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","adam","invscaling","(150,)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (150,), 'model__activation': 'logistic', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,48
"3",2,0.964697885513306,0.214489214788208,0.048227596282959,0.0123518727418796,"MinMaxScaler","KNNImputer","OneHotEncoder","lbfgs","adaptive","(20,)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (20,), 'model__activation': 'logistic', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.815642458100559,0.786516853932584,0.831460674157303,0.837078651685393,0.837078651685393,0.821555457912247,0.0191974984532636,3
"4",3,0.145129108428955,0.0397282563897827,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","invscaling","(200,)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (200,), 'model__activation': 'tanh', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,47
"5",4,2.8030131816864,0.213165602627281,0.0382078170776367,0.0118334725152444,"MinMaxScaler","KNNImputer","OneHotEncoder","lbfgs","constant","(100,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100,), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.815642458100559,0.792134831460674,0.837078651685393,0.820224719101124,0.837078651685393,0.820431862406629,0.0166008099133477,4
"6",5,2.53366465568542,0.0946937032860597,0.0345668315887451,0.0105673429282357,"StandardScaler","SimpleImputer","OneHotEncoder","lbfgs","invscaling","(80, 80)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (80, 80), 'model__activation': 'identity', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.810055865921788,0.769662921348315,0.814606741573034,0.831460674157303,0.837078651685393,0.812572970937167,0.0237023970021661,8
"7",6,42.8131233692169,5.86175044354867,0.0614415645599365,0.0259429710967147,"MinMaxScaler","SimpleImputer","OneHotEncoder","adam","constant","(560, 50)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (560, 50), 'model__activation': 'logistic', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.826815642458101,0.758426966292135,0.825842696629214,0.814606741573034,0.831460674157303,0.811430544221957,0.0270742866681594,9
"8",7,0.237716388702393,0.0170342649076426,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","adaptive","(250,)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (250,), 'model__activation': 'identity', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,46
"9",8,10.3576179981232,6.15446481064148,0.0965243339538574,0.0324099002287534,"MinMaxScaler","KNNImputer","OneHotEncoder","sgd","invscaling","(200, 5)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (200, 5), 'model__activation': 'identity', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.385474860335196,0.634831460674157,0.629213483146067,0.679775280898876,0.662921348314607,0.598443286673781,0.108072909216646,21
"10",9,0.301315689086914,0.0286886120483534,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","adam","invscaling","(100,)","relu","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100,), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,45
