"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__n_estimators","param_model__max_features","param_model__criterion","param_model__bootstrap","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.340429735183716,0.0835191076126723,0,0,"StandardScaler","KNNImputer","OrdinalEncoder",6,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 6, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,35
"2",1,0.887690162658691,0.0739346354510655,0.0683245182037353,0.018633705824227,"MinMaxScaler","KNNImputer","OneHotEncoder",91,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 91, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.82122905027933,0.808988764044944,0.842696629213483,0.808988764044944,0.848314606741573,0.826043562864855,0.0166026255223804,1
"3",2,1.079860496521,0.0585150845321731,0.082160758972168,0.0131437139766965,"MinMaxScaler","KNNImputer","OneHotEncoder",111,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 111, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.715083798882682,0.820224719101124,0.848314606741573,0.814606741573034,0.842696629213483,0.808185299102379,0.0482813942178705,21
"4",3,0.420050287246704,0.0260673494357584,0.0666202545166016,0.00381810238258349,"StandardScaler","SimpleImputer","OneHotEncoder",31,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 31, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.698324022346369,0.814606741573034,0.859550561797753,0.803370786516854,0.865168539325843,0.80820413031197,0.0600323124498103,20
"5",4,0.111856031417847,0.044229716652057,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder",61,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 61, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,48
"6",5,1.18142466545105,0.109411985981336,0.117529964447021,0.0357470079414331,"StandardScaler","KNNImputer","OneHotEncoder",101,"log2","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 101, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.782122905027933,0.825842696629214,0.876404494382023,0.808988764044944,0.831460674157303,0.824963906848283,0.0309181853520586,2
"7",6,0.151940870285034,0.0310461866202061,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder",126,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 126, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,47
"8",7,1.78155317306519,0.142476852456522,0.134603786468506,0.0431437166834879,"StandardScaler","KNNImputer","OneHotEncoder",181,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 181, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.748603351955307,0.808988764044944,0.865168539325843,0.797752808988764,0.825842696629214,0.809271232188814,0.0379801735966691,19
"9",8,1.04060492515564,0.0998406977757896,0.0785353660583496,0.0230308913790734,"StandardScaler","SimpleImputer","OneHotEncoder",91,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 91, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.843575418994413,0.814606741573034,0.825842696629214,0.797752808988764,0.831460674157303,0.822647668068546,0.0155580111206255,4
"10",9,0.141565608978271,0.0238280293736864,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder",71,"log2","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 71, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,46
"11",10,0.147779989242554,0.0388055741697012,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder",11,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 11, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,45
"12",11,0.138914918899536,0.0354082766253947,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder",6,"log2","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 6, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,44
"13",12,1.88250279426575,0.0987183974667933,0.134119129180908,0.0300174011807345,"MinMaxScaler","KNNImputer","OneHotEncoder",191,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 191, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.770949720670391,0.808988764044944,0.831460674157303,0.792134831460674,0.831460674157303,0.806998932898123,0.0233289528810783,23
"14",13,2.04368653297424,0.152166684813619,0.165725708007812,0.0314381255685526,"StandardScaler","KNNImputer","OneHotEncoder",191,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 191, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.776536312849162,0.803370786516854,0.831460674157303,0.792134831460674,0.848314606741573,0.810363442345113,0.0261183393401228,18
"15",14,0.160165357589722,0.0428619033225922,0.0459774017333984,0.0121002730158538,"MinMaxScaler","KNNImputer","OneHotEncoder",1,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 1, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.614525139664804,0.651685393258427,0.792134831460674,0.814606741573034,0.825842696629214,0.739758960517231,0.0885395899516682,27
"16",15,0.155706548690796,0.0501968450381581,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder",131,"log2","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 131, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,43
"17",16,0.704933595657349,0.147229831403128,0.0587193489074707,0.00720386793105279,"MinMaxScaler","KNNImputer","OneHotEncoder",56,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 56, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.76536312849162,0.808988764044944,0.853932584269663,0.786516853932584,0.853932584269663,0.813746783001695,0.0355946149082951,15
