"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.122692203521729,0.0244989511267729,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","False","poly","auto",7,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 7, 'model__C': 21, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,35
"2",1,0.197805976867676,0.0214138135629054,0,0,"MinMaxScaler","KNNImputer","OneHotEncoder","False","True","precomputed","scale",7,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 7, 'model__C': 1, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,48
"3",2,0.142483711242676,0.0348653353474285,0,0,"MinMaxScaler","KNNImputer","OneHotEncoder","False","True","precomputed","auto",2,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 2, 'model__C': 11, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,47
"4",3,0.480423831939697,0.0717928282304284,0.0604921817779541,0.0166130635018858,"StandardScaler","KNNImputer","OneHotEncoder","False","True","poly","auto",6,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 6, 'model__C': 1, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.82122905027933,0.808988764044944,0.786516853932584,0.752808988764045,0.786516853932584,0.791212102190697,0.023391950378311,13
"5",4,0.274261379241943,0.0332191392011029,0.0551350116729736,0.0112515803092418,"StandardScaler","SimpleImputer","OneHotEncoder","True","False","linear","auto",6,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 6, 'model__C': 21, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.849162011173184,0.814606741573034,0.837078651685393,0.837078651685393,0.837078651685393,0.83500094156048,0.0112197141121627,2
"6",5,0.747480487823486,0.0675029359656692,0.0679338455200195,0.0155307847132722,"MinMaxScaler","KNNImputer","OneHotEncoder","False","True","sigmoid","auto",2,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'auto', 'model__coef0': 2, 'model__C': 31, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.614525139664804,0.617977528089888,0.617977528089888,0.617977528089888,0.612359550561798,0.616163454899253,0.00232492363912771,18
"7",6,0.268788862228394,0.048013644931371,0.0441154003143311,0.0143843866608566,"StandardScaler","SimpleImputer","OneHotEncoder","True","False","linear","auto",5,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 5, 'model__C': 11, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.843575418994413,0.803370786516854,0.837078651685393,0.831460674157303,0.842696629213483,0.831636432113489,0.0147882570531903,7
"8",7,0.746277761459351,0.0524769490837907,0.0546181201934814,0.0140983250581815,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","sigmoid","scale",5,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__coef0': 5, 'model__C': 21, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.614525139664804,0.617977528089888,0.617977528089888,0.617977528089888,0.612359550561798,0.616163454899253,0.00232492363912771,18
"9",8,0.11066837310791,0.0196345934202427,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","True","True","precomputed","scale",6,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 6, 'model__C': 1, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,46
"10",9,0.166507196426392,0.0177434815538726,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","False","linear","scale",2,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 2, 'model__C': 1, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,45
